epoch,acc,loss,lr,val_acc,val_loss
0,0.04594940762087736,5.000470956624642,0.001,0.0645,4.492009870147705
1,0.09099823887287864,4.316211564701947,0.001,0.0948,4.19553123550415
2,0.13696765930195326,3.960180603385239,0.001,0.1413,4.2640679084777835
3,0.18808037143772013,3.6830728273913906,0.001,0.2125,3.650140055847168
4,0.24139449247518413,3.431025989231985,0.001,0.2511,3.41293564453125
5,0.29522894652577647,3.166069093744533,0.001,0.3182,3.1951796440124514
6,0.33529458853666344,2.9778990721878165,0.001,0.3073,3.178712530899048
7,0.36721501761127123,2.8331805987881804,0.001,0.3371,2.9825099716186525
8,0.39903538264489274,2.7217800372157614,0.001,0.3716,2.851554186248779
9,0.4172870637207813,2.633811106255831,0.001,0.4075,2.698911685562134
10,0.43798030739673394,2.5605579573795882,0.001,0.4327,2.622926993179321
11,0.4565922190201729,2.4976393296250614,0.001,0.4362,2.5873008949279783
12,0.46890009606147937,2.447607165302102,0.001,0.4473,2.513526470565796
13,0.4843699967979507,2.3922261282911372,0.001,0.4644,2.5188193656921385
14,0.49335574767851426,2.3542962055194083,0.001,0.4434,2.593359713745117
15,0.5045228946525776,2.3196559291293597,0.001,0.4595,2.5958328125
16,0.513408581492155,2.2915803224964857,0.001,0.442,2.6053348163604735
17,0.5224543707973103,2.2615100720201284,0.001,0.4841,2.4419679103851317
18,0.5322406340057637,2.226294189090344,0.001,0.5022,2.3858466320037843
19,0.5363632724943964,2.222788818822318,0.001,0.4812,2.4962333057403563
20,0.5436479346781941,2.1892952606382563,0.001,0.478,2.5276190265655516
21,0.5487912263848863,2.167834946256473,0.001,0.4966,2.4270025005340576
22,0.5552553634325968,2.149926670308377,0.001,0.4767,2.526040477371216
23,0.558837656099904,2.129784612292248,0.001,0.4733,2.5959538341522217
24,0.6264609349983989,1.856618686551434,0.0003162278,0.5935,1.9977247945785523
25,0.6485750880563561,1.7459113484882522,0.0003162278,0.5988,1.96122770652771
26,0.6576408901697086,1.6878568394001654,0.0003162278,0.6005,1.922013737297058
27,0.6649255523535063,1.6344775855827516,0.0003162278,0.596,1.9522614025115967
28,0.671489753442203,1.5998033041607445,0.0003162278,0.6097,1.8877708869934082
29,0.679855107268652,1.5629539435160988,0.0003162278,0.6093,1.863844483757019
30,0.6847582452769773,1.529345715347483,0.0003162278,0.5823,2.0150258768081666
31,0.6887007684918348,1.5085229327042744,0.0003162278,0.5956,1.938128371810913
32,0.6957652897854627,1.482621452612179,0.0003162278,0.6052,1.9155092874526978
