epoch,acc,loss,lr,val_acc,val_loss
0,0.14101024655779698,4.232062306039195,0.001,0.2045,3.713559958267212
1,0.2430755683637528,3.4847393196208563,0.001,0.2555,3.3923550006866456
2,0.2927673711175152,3.1754039240081915,0.001,0.2746,3.3054739013671877
3,0.33373358949727827,2.9891186159007486,0.001,0.2667,3.321501119995117
4,0.35862952289465255,2.868843113501943,0.001,0.3512,2.956596389007568
5,0.3810838936919629,2.770747719153051,0.001,0.3847,2.7767330364227294
6,0.39875520333013126,2.684603765458966,0.001,0.3741,2.8064523178100584
7,0.41396493756003844,2.6114800827571147,0.001,0.3915,2.7891981811523436
8,0.42657300672430354,2.5652894421032975,0.001,0.4256,2.5608807807922362
9,0.44110230547550433,2.493330814805582,0.001,0.445,2.509610301589966
10,0.4536903618315722,2.4522377738500687,0.001,0.4226,2.6522733112335204
11,0.45839337175792505,2.4135658415013537,0.001,0.4425,2.545463346862793
12,0.46920028818443804,2.381776774727378,0.001,0.4432,2.537854254150391
13,0.4768451809157861,2.3446647636866746,0.001,0.4477,2.527944750595093
14,0.4847102145373039,2.3122096717491236,0.001,0.4523,2.49973137550354
15,0.4898735190521934,2.2901968991111343,0.001,0.454,2.503282229232788
16,0.4967178994556516,2.260897914072355,0.001,0.4554,2.4973048835754397
17,0.5032220621197566,2.2431807160721045,0.001,0.483,2.3615067142486574
18,0.5082626440460948,2.225631540624494,0.001,0.4832,2.3767725971221925
19,0.5155148942985266,2.199306476963857,0.001,0.4725,2.4452506927490236
20,0.5166106308037144,2.1848538525013677,0.001,0.4821,2.450562278366089
21,0.5190922190201729,2.1748721233133397,0.001,0.4672,2.47559748878479
22,0.5281380083253282,2.1545134060969917,0.001,0.4927,2.3887935733795165
23,0.5872558437399936,1.8907016869962425,0.0003162278,0.544,2.1221586616516115
24,0.6112512007684918,1.7857834744674825,0.0003162278,0.5437,2.1258256832122804
25,0.6189161063080372,1.7351913643387162,0.0003162278,0.5524,2.0619305572509767
26,0.6289225104066603,1.6926051625219096,0.0003162278,0.5553,2.0664698802948
27,0.634506083893692,1.6634732827978411,0.0003162278,0.5547,2.0529374862670897
28,0.6400096061479347,1.632019185844309,0.0003162278,0.5488,2.095326490020752
29,0.6420509125840538,1.6125261385472127,0.0003162278,0.5434,2.138160999298096
30,0.6471341658661544,1.5849387507159245,0.0003162278,0.5528,2.064458291435242
31,0.654338776817163,1.555465040930639,0.0003162278,0.5532,2.071157221221924
32,0.6536183157220621,1.5478241850922896,0.0003162278,0.554,2.059743424987793
33,0.6892605633802817,1.4210122107848926,0.000100000005,0.5712,1.9983522411346435
34,0.6993113388853299,1.3813935918811038,0.000100000005,0.5721,1.9935917011260986
35,0.7055915786103106,1.3567425738608574,0.000100000005,0.5699,2.0304686912536623
36,0.7091738712776177,1.331562955448958,0.000100000005,0.5679,2.0046403842926024
37,0.7134165866154338,1.3146886494233752,0.000100000005,0.5758,1.99858330078125
38,0.7173791226384887,1.2968645679465938,0.000100000005,0.5708,2.0019254737854
39,0.7207612872238233,1.2794330604481765,0.000100000005,0.5768,1.9937551818847656
40,0.7351752560819462,1.2344481707306127,3.1622778e-05,0.5802,1.9989573314666749
41,0.7374079115951313,1.2203115028574405,3.1622778e-05,0.5786,1.9913741958618163
42,0.7401336855587576,1.2103938540319124,3.1622778e-05,0.5803,2.000270849990845
43,0.7427953890489913,1.2021015266405632,3.1622778e-05,0.5787,1.992313441848755
44,0.7437960294588537,1.1918980650439157,3.1622778e-05,0.5815,1.988584289741516
45,0.7448166826769133,1.1881600563395607,3.1622778e-05,0.5798,1.996575277709961
46,0.7461175152097342,1.1841840373755952,3.1622778e-05,0.581,1.9976809162139892
47,0.7483789625360231,1.1813428948943216,3.1622778e-05,0.5788,1.994483215713501
48,0.7492995517130964,1.1689226965166764,3.1622778e-05,0.5791,2.001837713623047
49,0.7495597182196606,1.1598743792340576,3.1622778e-05,0.5763,2.004742269515991
50,0.7564040986231187,1.1494745007891172,1.0000001e-05,0.5775,2.008417805480957
51,0.7586855587576049,1.134829643823915,1.0000001e-05,0.5797,2.0027349374771117
52,0.757804995196926,1.1367954400117832,1.0000001e-05,0.5787,2.0073683349609377
53,0.756424111431316,1.1363308181985616,1.0000001e-05,0.579,2.0000036167144777
54,0.7562039705411463,1.139210887265213,1.0000001e-05,0.5787,2.0035698331832887
55,0.7581252001280819,1.1314230012160786,3.1622778e-06,0.5802,2.0051889862060546
56,0.7590858149215498,1.1304035393274865,3.1622778e-06,0.5807,2.007043646621704
