epoch,acc,loss,lr,val_acc,val_loss
0,0.1133125200128082,4.2881675783426685,0.001,0.1666,3.7030008876800538
1,0.21029458853666347,3.4550701277858358,0.001,0.1618,4.095858014678955
2,0.26715097662504,3.1462758870755407,0.001,0.2442,3.300268448638916
3,0.30467499199487674,2.9511235525239328,0.001,0.2787,3.1834585342407227
4,0.33935718860070446,2.7961535201101704,0.001,0.3015,2.987520531845093
5,0.3698166826769132,2.6665469665692245,0.001,0.3391,2.8474298480987548
6,0.39217098943323725,2.5579077166087956,0.001,0.3183,2.9625607521057127
7,0.4133045148895293,2.4650040579040655,0.001,0.3658,2.729871734237671
8,0.4341778738392571,2.37611516240389,0.001,0.4087,2.54319186668396
9,0.45184918347742553,2.30832807383322,0.001,0.3012,3.465608317565918
10,0.4688800832532821,2.2473550681841896,0.001,0.4377,2.44381085395813
11,0.480247358309318,2.1921090720900733,0.001,0.3845,2.6475951946258545
12,0.4912544028178034,2.1506851722596356,0.001,0.4134,2.6033133827209474
13,0.50138088376561,2.113228836007657,0.001,0.4218,2.573048954772949
14,0.5135886967659302,2.0628331556482036,0.001,0.4302,2.4910499267578126
15,0.5232348703170029,2.039265795468597,0.001,0.366,2.7649449619293214
16,0.5895172910662824,1.768437074080439,0.0003162278,0.5514,1.961219780921936
17,0.603786423310919,1.6878487630185126,0.0003162278,0.565,1.8956794603347777
18,0.6142931476144733,1.6496549904289208,0.0003162278,0.5734,1.8560099369049072
19,0.62085734870317,1.6122539702264918,0.0003162278,0.3178,4.255901864624024
20,0.6277417547230227,1.575286488597148,0.0003162278,0.5646,1.8886679788589478
21,0.6320445084854307,1.548509662631533,0.0003162278,0.5596,1.8828981382369996
22,0.6361071085494716,1.5222407193890832,0.0003162278,0.5591,1.8803561557769775
23,0.6435718860070445,1.4961098190534203,0.0003162278,0.5698,1.869913554763794
24,0.6771333653538264,1.3778108412204857,0.000100000005,0.5973,1.7445770347595215
25,0.6842379122638489,1.3491455847126073,0.000100000005,0.5979,1.7432274772644043
26,0.6907620877361511,1.3268951093238246,0.000100000005,0.595,1.7573623474121094
27,0.6950648414985591,1.3042950669504532,0.000100000005,0.594,1.7514430662155152
28,0.6985270573166826,1.2906111211224012,0.000100000005,0.5942,1.7713043966293336
29,0.7011687479987192,1.274993412356479,0.000100000005,0.602,1.7223313386917114
